Date,Open,High,Low,Close,Adj Close,Volume,Increase/Decrease,,Buy_Sell_on_Open,,Buy_Sell,Return
12/27/2016,14.325333,14.816667,14.294667,14.635333,14.635333,88735500,-0.02164,0.036517,0,1,1,0.029015
12/28/2016,14.768667,14.92,14.48,14.649333,14.649333,56737500,0.00808,0.030387,1,0,0,0.000957
12/29/2016,14.570667,14.613333,14.274667,14.312,14.312,60675000,0.017753,0.023725,1,0,0,-0.023027
12/30/2016,14.42,14.5,14.112,14.246,14.246,69639000,0.012067,0.027494,1,0,1,-0.004612
1/3/2017,14.324,14.688667,14.064,14.466,14.466,88849500,-0.009913,0.044416,1,0,1,0.015443
1/4/2017,14.316667,15.2,14.287333,15.132667,15.132667,168202500,-0.056997,0.063879,0,1,0,0.046085
1/5/2017,15.094667,15.165333,14.796667,15.116667,15.116667,88675500,-0.001457,0.024915,0,1,1,-0.001057
1/6/2017,15.128667,15.354,15.03,15.267333,15.267333,82918500,-0.009166,0.021557,0,1,1,0.009967
1/9/2017,15.264667,15.461333,15.2,15.418667,15.418667,59692500,-0.010089,0.017193,0,1,0,0.009912
1/10/2017,15.466667,15.466667,15.126,15.324667,15.324667,54900000,0.009181,0.022522,0,0,0,-0.006096
1/11/2017,15.271333,15.332,15.112,15.315333,15.315333,54762000,-0.002881,0.014558,1,0,0,-0.000609
1/12/2017,15.270667,15.38,15.038667,15.306,15.306,56853000,-0.002314,0.022697,1,1,1,-0.000609
1/13/2017,15.333333,15.856667,15.306,15.85,15.85,91395000,-0.033696,0.035977,0,1,0,0.035542
1/17/2017,15.78,15.997333,15.624667,15.705333,15.705333,69262500,0.004732,0.023851,0,0,1,-0.009127
1/18/2017,15.776667,15.980667,15.705333,15.890667,15.890667,56535000,-0.007226,0.017531,1,1,1,0.011801
1/19/2017,16.483334,16.578667,16.049999,16.250668,16.250668,115984500,0.014115,0.032939,0,0,1,0.022655
1/20/2017,16.364,16.4,16.200666,16.315332,16.315332,63064500,0.002974,0.012304,1,1,1,0.003979
1/23/2017,16.389999,16.726,16.366667,16.594667,16.594667,93943500,-0.012487,0.021955,0,1,1,0.017121
1/24/2017,16.666668,16.986668,16.643333,16.974001,16.974001,74482500,-0.01844,0.020629,1,1,0,0.022859
1/25/2017,17.153999,17.230667,16.786667,16.964666,16.964666,77139000,0.011037,0.02645,0,0,0,-0.00055
1/26/2017,16.952667,17.049334,16.716667,16.834,16.834,47281500,0.007,0.0199,1,0,1,-0.007702
1/27/2017,16.758667,16.866667,16.568001,16.863333,16.863333,47494500,-0.006245,0.018027,1,1,0,0.001742
1/30/2017,16.835333,17.019333,16.473333,16.708668,16.708668,57016500,0.007524,0.033144,1,0,1,-0.009172
1/31/2017,16.615999,17.059334,16.513332,16.795334,16.795334,61741500,-0.010793,0.033064,0,1,0,0.005187
2/1/2017,16.870001,16.879999,16.603333,16.615999,16.615999,59382000,0.015056,0.016663,0,0,1,-0.010678
2/2/2017,16.556,16.827999,16.514,16.77,16.77,37497000,-0.012926,0.019014,0,1,0,0.009268
2/3/2017,16.794001,16.812,16.645332,16.755333,16.755333,32800500,0.002302,0.010013,1,0,1,-0.000875
2/6/2017,16.733334,17.188,16.708668,17.184668,17.184668,53437500,-0.026972,0.028688,1,1,0,0.025624
2/7/2017,17.212667,17.333332,17.094667,17.165333,17.165333,63672000,0.00275,0.013961,0,0,1,-0.001125
2/8/2017,17.156668,17.557333,17.08,17.472,17.472,58995000,-0.01838,0.027947,1,1,1,0.017866
2/9/2017,17.75,18.078667,17.743334,17.946667,17.946667,117303000,-0.01108,0.018899,0,1,1,0.027167
2/10/2017,17.986,18.063334,17.740667,17.948668,17.948668,54295500,0.002076,0.018188,1,1,1,0.000111
2/13/2017,18.049334,18.719334,18.034,18.706667,18.706667,105444000,-0.036419,0.038002,1,1,1,0.042232
2/14/2017,18.601999,19.159332,18.573999,18.732,18.732,110178000,-0.006989,0.031514,0,1,0,0.001354
2/15/2017,18.666668,18.816,18.429333,18.650667,18.650667,74218500,0.000857,0.020981,1,0,0,-0.004342
2/16/2017,18.506666,18.666668,17.9,17.93,17.93,106159500,0.03116,0.042831,0,0,1,-0.03864
2/17/2017,17.719999,18.192667,17.610001,18.148666,18.148666,93856500,-0.024191,0.033087,0,1,1,0.012196
2/21/2017,18.363333,18.76,18.267332,18.492666,18.492666,85150500,-0.007043,0.02697,1,1,0,0.018955
